,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lddt,tm-score-ost,mae_gold,mae_dna
normalized_21_3dRNA_1_rpr.pdb,12.088,0.0057462168152098,0.363,0.555,0.0,0.363,33.296,,0.175,0.305,0.146,0.268,0.317,0.488,0.541,-8450.6,163520.0,-0.052,0.0,1.283,2.006,0.324,-20146.644,-2678.149,0.283,0.179,54.27401812688822,43.41125493617285
normalized_21_Bujnicki_3_rpr.pdb,12.145,0.0062796206519115,0.426,0.416,0.0,0.502,28.513,,0.233,0.372,0.244,0.342,0.415,0.488,0.579,-19333.5,189747.0,-0.102,0.0,1.258,2.209,1.16,-31346.796,-4879.262,0.354,0.229,41.66935933147632,24.33131704166957
normalized_21_RNAComposer_3_rpr.pdb,12.233,0.0072077988030013,0.569,0.92,0.0,0.522,21.517,,0.19,0.329,0.146,0.268,0.342,0.561,0.59,-12230.4,173977.0,-0.07,0.0,1.361,1.735,0.56,-24453.538,-3539.504,0.341,0.187,44.459610027855156,31.866924485342846
normalized_21_3dRNA_3_rpr.pdb,12.285,0.0077973281545579,0.444,0.555,0.0,0.523,27.64,,0.132,0.281,0.146,0.195,0.317,0.463,0.561,-8929.48,181871.0,-0.049,0.0,1.282,2.029,0.305,-22621.138,-2581.938,0.33,0.152,51.176044568245125,39.182819387163434
normalized_21_3dRNA_2_rpr.pdb,12.405,0.0093574142844127,0.348,0.496,0.0,0.371,35.631,,0.176,0.329,0.171,0.268,0.317,0.561,0.548,-6822.99,175398.0,-0.039,0.0,1.323,2.163,0.274,-20103.363,-2589.819,0.304,0.19,59.92608695652174,51.662906573234345
normalized_21_RNAComposer_4_rpr.pdb,13.021,0.022261108031272,0.567,0.92,0.0,0.536,22.964,,0.177,0.305,0.146,0.244,0.342,0.488,0.57,-13322.0,167018.0,-0.08,0.0,1.455,1.734,0.545,-24261.09,-3469.591,0.339,0.187,44.18272980501392,31.010749732971192
normalized_21_simRNA_5_rpr.pdb,13.287,0.0313298638476842,0.462,0.43,0.0,0.554,28.766,,0.239,0.354,0.22,0.317,0.415,0.463,0.596,-18282.8,185223.0,-0.099,0.0,1.408,2.226,0.962,-28337.478,-4491.565,0.009,0.237,44.178991596638646,27.77285800061907
normalized_21_simRNA_3_rpr.pdb,13.287,0.0313298638476842,0.462,0.43,0.0,0.554,28.766,,0.239,0.354,0.22,0.317,0.415,0.463,0.596,-18282.8,185223.0,-0.099,0.0,1.408,2.226,0.962,-28337.478,-4491.565,0.009,0.237,44.178991596638646,27.77285800061907
normalized_21_Sanbonmatsu_3_rpr.pdb,14.167,0.0849886598124726,0.46,0.538,0.0,0.51,30.796,,0.141,0.305,0.122,0.22,0.39,0.488,0.557,-10856.5,208336.0,-0.052,0.0,1.481,2.184,0.78,-27094.209,-4439.526,0.044,0.166,44.33064066852368,34.51808097076416
normalized_21_Sanbonmatsu_4_rpr.pdb,14.167,0.0849882773262302,0.46,0.538,0.0,0.51,30.796,,0.141,0.305,0.122,0.22,0.39,0.488,0.557,-10852.8,208334.0,-0.052,0.0,1.481,2.184,0.78,-27092.959,-4439.638,0.044,0.166,44.329247910863515,34.51665239933559
normalized_21_DasLORES_3_rpr.pdb,14.52,0.1197648780934071,0.595,0.815,0.0,0.634,24.384,,0.195,0.329,0.195,0.293,0.366,0.463,0.597,-16286.8,178327.0,-0.091,0.0,1.534,1.878,0.969,-30102.249,-5887.399,0.339,0.195,39.64484679665738,25.922775925772534
normalized_21_Sanbonmatsu_1_rpr.pdb,14.598,0.1285852749287577,0.467,0.585,0.0,0.498,31.275,,0.144,0.299,0.122,0.244,0.366,0.463,0.565,-12593.7,177956.0,-0.071,0.0,1.524,2.089,0.77,-24973.173,-3758.424,0.034,0.142,43.39220055710306,35.12956396811349
normalized_21_Sanbonmatsu_2_rpr.pdb,14.598,0.1285806055242739,0.467,0.585,0.0,0.498,31.275,,0.144,0.299,0.122,0.244,0.366,0.463,0.565,-12594.8,177959.0,-0.071,0.0,1.524,2.089,0.77,-24977.27,-3757.777,0.034,0.142,43.39052924791086,35.13042111097063
normalized_21_RNAComposer_1_rpr.pdb,14.629,0.1323117994333197,0.425,0.439,0.183,0.477,34.417,,0.202,0.415,0.146,0.342,0.439,0.732,0.608,-12655.5,181617.0,-0.07,0.0,1.501,2.092,0.572,-25842.379,-3996.82,0.378,0.208,41.468523676880224,27.832802997044148
normalized_21_RW3D_2_rpr.pdb,16.051,0.3722223526236918,0.487,0.538,0.0,0.588,32.967,,0.22,0.408,0.22,0.293,0.488,0.634,0.587,-19866.1,182574.0,-0.109,0.0,1.664,2.12,0.954,-31687.371,-5688.986,0.362,0.226,39.93537604456825,23.81961037663051
normalized_21_RW3D_10_rpr.pdb,16.226,0.4096275797438297,0.533,0.538,0.0,0.657,30.42,,0.201,0.378,0.171,0.317,0.439,0.585,0.603,-20127.4,165012.0,-0.122,0.0,1.601,2.058,0.997,-30097.678,-4893.553,0.36,0.21,35.95905292479108,20.746799537658692
normalized_21_RW3D_6_rpr.pdb,16.976,0.5746252577681106,0.519,0.538,0.0,0.647,32.721,,0.207,0.396,0.195,0.293,0.463,0.634,0.587,-19621.4,159225.0,-0.123,0.0,1.666,2.072,0.945,-29168.372,-5050.917,0.352,0.215,37.14038997214485,22.269838983808242
normalized_21_RNAComposer_5_rpr.pdb,17.039,0.5882224465636628,0.489,0.585,0.0,0.543,34.858,,0.182,0.354,0.171,0.244,0.366,0.634,0.591,-16762.9,146638.0,-0.114,0.0,1.756,2.106,0.661,-25771.608,-4479.157,0.316,0.187,39.913927576601665,25.557761987958635
normalized_21_3dRNA_5_rpr.pdb,17.488,0.6817449432145468,0.523,0.585,0.0,0.599,33.439,,0.238,0.463,0.195,0.366,0.512,0.78,0.603,-15987.4,151842.0,-0.105,0.0,1.766,1.975,0.619,-24217.55,-3956.973,0.334,0.237,48.022284122562674,36.37822011784145
normalized_21_RW3D_8_rpr.pdb,17.665,0.7159127138910438,0.472,0.56,0.0,0.564,37.437,,0.201,0.39,0.195,0.317,0.463,0.585,0.589,-20318.8,173170.0,-0.117,0.0,1.817,2.094,0.926,-31182.856,-5369.782,0.369,0.205,37.696935933147635,20.73375393131801
normalized_21_RW3D_3_rpr.pdb,17.806,0.7418495969178363,0.487,0.519,0.0,0.588,36.572,,0.2,0.408,0.195,0.317,0.463,0.658,0.607,-20594.3,164117.0,-0.125,0.0,1.812,2.05,0.955,-30035.742,-5164.46,0.373,0.197,36.0175487465181,22.01987108394078
normalized_21_RW3D_1_rpr.pdb,17.919,0.7618334178404458,0.436,0.519,0.0,0.503,41.118,,0.202,0.378,0.195,0.293,0.415,0.61,0.594,-19706.9,169722.0,-0.116,0.0,1.835,2.132,0.964,-30707.641,-5278.552,0.362,0.207,39.65821727019498,25.23922292109898
normalized_21_RW3D_9_rpr.pdb,18.027,0.7800045250706212,0.527,0.56,0.0,0.623,34.179,,0.196,0.372,0.171,0.317,0.415,0.585,0.628,-22426.3,167546.0,-0.134,0.0,1.852,2.032,0.932,-30910.972,-5905.146,0.378,0.212,38.33231197771588,21.390252653939385
normalized_21_RW3D_7_rpr.pdb,18.049,0.7835866102160502,0.487,0.501,0.0,0.599,37.072,,0.2,0.372,0.195,0.317,0.415,0.561,0.594,-21051.3,169545.0,-0.124,0.0,1.863,2.117,0.978,-30893.874,-5443.948,0.365,0.203,36.71058495821727,21.36335134342739
normalized_21_3dRNA_4_rpr.pdb,18.089,0.7899706020405899,0.501,0.585,0.0,0.575,36.092,,0.197,0.354,0.146,0.293,0.463,0.512,0.588,-13204.1,168095.0,-0.079,0.0,1.82,2.016,0.545,-24372.684,-3243.04,0.319,0.189,48.34623955431755,43.15470983995711
normalized_21_RW3D_5_rpr.pdb,18.109,0.7932745621991711,0.43,0.538,0.0,0.487,42.083,,0.209,0.39,0.22,0.317,0.439,0.585,0.556,-18577.0,163978.0,-0.113,0.0,1.864,2.167,0.958,-29936.303,-4381.725,0.354,0.213,40.04011142061281,23.477487595694406
normalized_21_RNAComposer_2_rpr.pdb,18.206,0.8083177251148215,0.508,0.647,0.0,0.553,35.858,,0.171,0.366,0.171,0.244,0.439,0.61,0.588,-16461.5,172303.0,-0.096,0.0,1.848,2.067,0.624,-28099.077,-4646.01,0.341,0.166,35.37548746518106,19.464312187194825
normalized_21_RW3D_4_rpr.pdb,18.207,0.8083799215913592,0.511,0.538,0.0,0.623,35.652,,0.201,0.378,0.195,0.293,0.463,0.561,0.593,-21257.0,171054.0,-0.124,0.0,1.873,2.085,0.942,-31279.592,-5281.679,0.37,0.197,37.54874651810585,20.69823660169329
normalized_21_Bujnicki_5_rpr.pdb,21.492,0.9965041189772924,0.353,0.0,0.0,0.548,60.921,,0.12,0.232,0.122,0.171,0.244,0.39,0.509,-21535.2,148211.0,-0.145,0.0,2.193,2.375,0.797,-25884.253,-4083.444,0.246,0.182,39.23788300835655,22.751554337637764
